pedido_id,data,vendedor,categoria,valor,status
1,2025-12-20,Carlos,Eletrônicos,255.12,Cancelado
2,2026-06-05,Ana,Livros,1323.13,Concluído
3,2025-08-09,Julia,Casa,415.37,Concluído
4,2026-03-20,Maria,Eletrônicos,796.31,Cancelado
5,2025-09-23,Pedro,Beleza,625.78,Concluído
6,2025-07-05,Carlos,Casa,1318.83,Concluído
7,2026-02-17,Pedro,Beleza,42.98,Concluído
8,2025-07-18,Ana,Roupas,631.12,Em andamento
9,2025-06-23,Maria,Esportes,1134.86,Concluído
10,2026-02-11,Maria,Beleza,567.74,Cancelado
11,2025-11-24,Maria,Casa,456.3,Cancelado
12,2026-05-26,Maria,Eletrônicos,535.91,Cancelado
13,2026-02-10,Julia,Livros,929.84,Concluído
14,2026-04-22,Ana,Casa,1062.27,Concluído
15,2025-12-09,Carlos,Eletrônicos,1076.15,Concluído
16,2025-10-31,Maria,Livros,1478.72,Concluído
17,2025-09-16,Carlos,Beleza,166.43,Concluído
18,2025-06-22,Pedro,Eletrônicos,627.79,Concluído
19,2025-10-21,Carlos,Casa,1482.61,Concluído
20,2025-07-14,João,Livros,224.27,Concluído
21,2026-01-10,Ana,Beleza,759.97,Concluído
22,2026-03-12,Pedro,Beleza,603.13,Concluído
23,2025-11-15,Carlos,Eletrônicos,1325.16,Cancelado
24,2025-08-08,Maria,Esportes,451.87,Concluído
25,2026-03-02,Maria,Casa,115.88,Concluído
26,2025-06-29,João,Roupas,1102.42,Concluído
27,2025-10-27,Pedro,Livros,172.59,Concluído
28,2026-05-04,Maria,Eletrônicos,180.37,Concluído
29,2026-05-02,João,Esportes,1133.26,Concluído
30,2025-08-03,Carlos,Beleza,691.3,Cancelado
31,2026-05-19,Pedro,Roupas,927.47,Cancelado
32,2026-03-20,Julia,Beleza,1060.91,Concluído
33,2025-12-12,Ana,Eletrônicos,1187.99,Concluído
34,2026-05-05,Ana,Livros,495.74,Em andamento
35,2026-06-06,João,Esportes,662.74,Concluído
36,2025-11-24,Carlos,Esportes,1292.78,Concluído
37,2026-05-23,Maria,Livros,903.89,Cancelado
38,2026-04-16,Pedro,Eletrônicos,824.96,Concluído
39,2026-01-19,Maria,Roupas,88.56,Cancelado
40,2025-09-15,Ana,Livros,602.8,Concluído
41,2026-05-03,Julia,Casa,711.04,Concluído
42,2026-03-31,Ana,Beleza,409.35,Concluído
43,2025-12-10,Ana,Eletrônicos,1348.7,Concluído
44,2026-03-10,Ana,Casa,1115.49,Concluído
45,2025-11-22,Maria,Roupas,1448.96,Concluído
46,2026-04-29,Julia,Casa,1302.16,Concluído
47,2025-12-17,João,Roupas,128.06,Concluído
48,2026-03-07,Ana,Roupas,646.09,Concluído
49,2025-09-15,Pedro,Roupas,1034.65,Concluído
50,2026-01-19,João,Casa,1057.88,Concluído
51,2025-09-07,Maria,Beleza,868.13,Concluído
52,2025-07-06,Ana,Esportes,1236.75,Em andamento
53,2025-07-21,Julia,Roupas,539.25,Concluído
54,2025-10-14,Julia,Livros,379.82,Cancelado
55,2026-05-29,Pedro,Eletrônicos,1227.16,Cancelado
56,2026-04-28,Carlos,Casa,442.19,Concluído
57,2025-06-26,Ana,Eletrônicos,510.73,Concluído
58,2026-03-08,Pedro,Roupas,706.11,Cancelado
59,2025-12-02,Carlos,Esportes,1284.6,Concluído
60,2026-02-25,Carlos,Esportes,90.84,Concluído
61,2025-09-27,Julia,Roupas,378.93,Em andamento
62,2025-10-17,Julia,Esportes,1400.96,Concluído
63,2026-01-27,Maria,Eletrônicos,1364.18,Concluído
64,2026-01-13,João,Esportes,1264.15,Concluído
65,2026-04-14,Ana,Casa,204.61,Cancelado
66,2025-07-19,Julia,Roupas,1282.91,Concluído
67,2025-07-18,Julia,Eletrônicos,915.61,Concluído
68,2025-07-30,Julia,Esportes,686.87,Concluído
69,2026-04-15,João,Eletrônicos,481.48,Concluído
70,2025-11-18,Ana,Casa,184.38,Concluído
71,2026-06-01,Julia,Livros,453.49,Cancelado
72,2026-03-28,Maria,Eletrônicos,284.06,Concluído
73,2026-03-31,Maria,Beleza,1333.14,Em andamento
74,2025-11-29,Maria,Beleza,474.75,Concluído
75,2025-07-05,Julia,Roupas,153.25,Em andamento
76,2025-12-25,Carlos,Casa,756.67,Concluído
77,2025-10-24,João,Roupas,444.27,Concluído
78,2025-09-26,Carlos,Casa,954.56,Cancelado
79,2025-07-18,João,Livros,1163.52,Concluído
80,2026-05-15,Pedro,Esportes,437.1,Cancelado
81,2026-05-06,Maria,Livros,1334.08,Concluído
82,2026-02-15,Pedro,Casa,894.94,Cancelado
83,2026-05-27,Maria,Livros,1435.19,Em andamento
84,2025-07-24,Julia,Roupas,211.51,Em andamento
85,2025-11-13,Ana,Beleza,861.46,Concluído
86,2026-01-11,Julia,Casa,1087.89,Concluído
87,2025-06-28,Julia,Esportes,250.59,Cancelado
